ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12014684,JD189901,3/17/2020 21:30,039XX N LECLAIRE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1634,16,45,15,6,1141659,1925649,2020,3/25/2020 15:45,41.95205195,-87.75466037,"(41.952051946, -87.754660372)"
12012127,JD189186,3/18/2020 2:03,039XX W JACKSON BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,FALSE,TRUE,1132,11,28,26,7,1150196,1898398,2020,3/25/2020 15:47,41.87711019,-87.72398972,"(41.877110187, -87.723989719)"
12012330,JD189367,3/18/2020 8:50,023XX N KEELER AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,2525,25,35,20,08A,1147996,1915240,2020,3/25/2020 15:47,41.92336897,-87.73163383,"(41.923368973, -87.731633833)"
12014760,JD192130,3/18/2020 13:00,047XX W MONROE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),FALSE,FALSE,1113,11,28,25,11,1144749,1899145,2020,3/25/2020 15:47,41.87926442,-87.7439709,"(41.879264422, -87.743970898)"
12012667,JD189808,3/18/2020 17:35,003XX S CICERO AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1144446,1898000,2020,3/25/2020 15:47,41.87612811,-87.74511229,"(41.876128106, -87.745112291)"
12015216,JD192637,3/16/2020 0:05,049XX S CALUMET AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,224,2,3,38,6,1179270,1872264,2020,3/25/2020 15:45,41.80478063,-87.61803833,"(41.804780628, -87.618038332)"
12016052,JD193500,3/18/2020 23:15,009XX W MONTANA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,1932,19,43,7,14,,,2020,3/25/2020 15:47,,,
12012728,JD189837,3/18/2020 18:00,015XX S ST LOUIS AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,1021,10,24,29,3,1153287,1892239,2020,3/25/2020 15:47,41.86014843,-87.71280386,"(41.860148433, -87.712803862)"
12012604,JD189554,3/18/2020 14:04,103XX S OGLESBY AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,FALSE,TRUE,434,4,7,51,04B,1193852,1836954,2020,3/25/2020 15:47,41.70754177,-87.56571438,"(41.707541767, -87.565714381)"
12013018,JD189937,3/18/2020 21:27,045XX S HERMITAGE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,FALSE,TRUE,924,9,15,61,26,1165440,1874572,2020,3/25/2020 15:47,41.81141869,-87.66869517,"(41.811418689, -87.668695174)"
12012216,JD189259,3/18/2020 7:30,029XX N OAK PARK AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2511,25,36,18,6,1130581,1918733,2020,3/25/2020 15:47,41.93327168,-87.79554344,"(41.933271681, -87.795543442)"
12015324,JD191280,3/14/2020 14:45,019XX N AUSTIN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2513,25,29,25,7,1136098,1912178,2020,3/25/2020 15:45,41.91518726,-87.77542523,"(41.915187259, -87.775425225)"
12013654,JD190696,3/18/2020 7:18,034XX S UNION AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),FALSE,FALSE,915,9,11,60,26,1172193,1882168,2020,3/25/2020 15:47,41.83211685,-87.643702,"(41.832116845, -87.643702002)"
12789052,JF350580,8/9/2022 16:07,014XX W ELMDALE AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,TRUE,FALSE,2013,20,48,77,3,1165640,1939961,2022,1/3/2023 15:46,41.99084642,-87.66609614,"(41.990846423, -87.666096144)"
12012355,JD189434,3/18/2020 11:30,035XX S MICHIGAN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,POLICE FACILITY / VEHICLE PARKING LOT,FALSE,TRUE,213,2,3,35,26,1177772,1881665,2020,3/25/2020 15:47,41.83061185,-87.62324737,"(41.830611847, -87.623247369)"
12790581,JF352712,8/10/2022 16:00,062XX S ARTESIAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,825,8,16,66,6,1161110,1863210,2022,1/3/2023 15:46,41.78033068,-87.68489178,"(41.780330681, -87.684891779)"
12790652,JF352659,8/11/2022 10:00,094XX S STATE ST,810,THEFT,OVER $500,STREET,FALSE,TRUE,634,6,9,49,6,1177962,1842197,2022,1/3/2023 15:46,41.72230323,-87.62374513,"(41.722303228, -87.623745129)"
12014889,JD191830,3/16/2020 15:20,012XX W 119TH ST,890,THEFT,FROM BUILDING,OTHER (SPECIFY),FALSE,FALSE,524,5,34,53,6,1170139,1825866,2020,3/25/2020 15:45,41.67766176,-87.65287226,"(41.677661758, -87.652872258)"
12014561,JD191956,3/18/2020 13:14,036XX N PIONEER AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1631,16,38,17,6,1120755,1923229,2020,3/25/2020 15:47,41.94577275,-87.83155747,"(41.945772754, -87.831557469)"
12796135,JF359082,8/15/2022 21:14,048XX S KARLOV AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,815,8,14,57,08A,1149844,1872244,2022,1/3/2023 15:46,41.80534707,-87.72596126,"(41.805347066, -87.725961264)"
12013948,JD191248,3/17/2020 21:00,076XX S EUCLID AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,414,4,8,43,6,1190529,1854711,2020,3/25/2020 15:45,41.75634935,-87.57731191,"(41.756349351, -87.577311905)"
12795972,JF359058,8/16/2022 16:10,015XX S HALSTED ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1232,12,11,28,6,1171290,1892413,2022,1/3/2023 15:46,41.86024984,-87.64671467,"(41.860249838, -87.64671467)"
12796817,JF359932,8/15/2022 15:00,075XX S PHILLIPS AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,421,4,7,43,6,1193842,1855434,2022,1/3/2023 15:46,41.75825279,-87.565147,"(41.758252785, -87.565147001)"
12796316,JF358737,8/16/2022 11:57,012XX N LA SALLE DR,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1821,18,2,8,08B,1174910,1908582,2022,1/3/2023 15:46,41.90453833,-87.63294231,"(41.904538325, -87.632942313)"
